Total running time: 35620.84629
         18576279993 function calls (18576029687 primitive calls) in 35620.978 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    12180    0.005    0.000    0.005    0.000 {cplex._internal.py27_cplex1270.doubleArray___getitem__}
        2    0.005    0.002    0.005    0.002 {method 'format' of 'str' objects}
        1    0.004    0.004    0.016    0.016 random.py:40(<module>)
    12180    0.004    0.000    0.009    0.000 _pycplex.py:1711(__getitem__)
        1    0.003    0.003    0.020    0.020 _procedural.py:13(<module>)
    10000    0.003    0.000    0.003    0.000 _pycplex.py:1614(<lambda>)
        1    0.003    0.003    0.065    0.065 _list_array_utils.py:13(<module>)
        1    0.003    0.003    0.114    0.114 __init__.py:34(<module>)
    10000    0.003    0.000    0.003    0.000 _pycplex.py:1638(<lambda>)
        1    0.002    0.002    0.003    0.003 six.py:1(<module>)
        1    0.002    0.002    0.022    0.022 _ostream.py:13(<module>)
        1    0.002    0.002    0.002    0.002 {posix.popen}
        1    0.001    0.001    0.002    0.002 __init__.py:18(<module>)
        1    0.001    0.001    0.062    0.062 _pycplex.py:11(<module>)
        4    0.001    0.000    0.001    0.000 {open}
    47/11    0.001    0.000    0.003    0.000 sre_parse.py:380(_parse)
        1    0.001    0.001    0.005    0.005 _aux_functions.py:15(<module>)
        1    0.001    0.001    0.002    0.002 _parameter_classes.py:18(<module>)
        6    0.001    0.000    0.001    0.000 {time.time}
        1    0.001    0.001    0.001    0.001 _subinterfaces.py:13(<module>)
     98/9    0.001    0.000    0.002    0.000 sre_compile.py:33(_compile)
        1    0.001    0.001    0.001    0.001 callbacks.py:42(<module>)
        1    0.001    0.001    0.001    0.001 {cplex._internal.py27_cplex1270.cb_struct_swigregister}
        1    0.001    0.001    0.001    0.001 {cplex._internal.py27_cplex1270.cpxiodevice_swigregister}
   147/58    0.000    0.000    0.001    0.000 sre_parse.py:141(getwidth)
      396    0.000    0.000    0.001    0.000 sre_parse.py:183(__next)
        1    0.000    0.000    0.000    0.000 {cplex._internal.py27_cplex1270.CPXXgetx}
        1    0.000    0.000    0.000    0.000 {posix.urandom}
        1    0.000    0.000    0.000    0.000 {cplex._internal.py27_cplex1270.longArray_swigregister}
        1    0.000    0.000    0.000    0.000 _parameter_hierarchy.py:15(<module>)
        6    0.000    0.000    0.000    0.000 {method 'close' of 'file' objects}
      453    0.000    0.000    0.000    0.000 sre_parse.py:131(__getitem__)
        1    0.000    0.000    0.000    0.000 _pycplex.py:89(cpxiodevice)
        1    0.000    0.000    0.000    0.000 random.py:72(Random)
       32    0.000    0.000    0.000    0.000 sre_compile.py:208(_optimize_charset)
        1    0.000    0.000    0.059    0.059 {imp.load_module}
        1    0.000    0.000    0.000    0.000 _parameters_auto.py:14(<module>)
        1    0.000    0.000    0.000    0.000 _parameter_classes.py:108(NumParameter)
      327    0.000    0.000    0.001    0.000 sre_parse.py:202(get)
     44/9    0.000    0.000    0.003    0.000 sre_parse.py:302(_parse_sub)
        1    0.000    0.000    0.000    0.000 _anno.py:12(<module>)
        1    0.000    0.000    0.000    0.000 errors.py:12(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:96(Environment)
       32    0.000    0.000    0.000    0.000 sre_compile.py:179(_compile_charset)
        9    0.000    0.000    0.001    0.000 sre_compile.py:362(_compile_info)
        1    0.000    0.000    0.000    0.000 _matrices.py:13(<module>)
        1    0.000    0.000    0.000    0.000 _constants.py:13(<module>)
       72    0.000    0.000    0.000    0.000 six.py:132(__init__)
      285    0.000    0.000    0.000    0.000 sre_parse.py:196(match)
      187    0.000    0.000    0.000    0.000 sre_parse.py:139(append)
       49    0.000    0.000    0.000    0.000 sre_compile.py:355(_simple)
        9    0.000    0.000    0.005    0.001 re.py:226(_compile)
      215    0.000    0.000    0.000    0.000 sre_parse.py:127(__len__)
        1    0.000    0.000    0.000    0.000 contextlib.py:1(<module>)
      131    0.000    0.000    0.000    0.000 {setattr}
      203    0.000    0.000    0.000    0.000 {min}
      115    0.000    0.000    0.000    0.000 six.py:83(__init__)
       98    0.000    0.000    0.000    0.000 sre_parse.py:91(__init__)
        1    0.000    0.000    0.000    0.000 six.py:614(exec_)
        1    0.000    0.000    0.000    0.000 {imp.find_module}
        9    0.000    0.000    0.005    0.001 sre_compile.py:496(compile)
       50    0.000    0.000    0.000    0.000 six.py:166(_add_module)
       43    0.000    0.000    0.000    0.000 six.py:96(__init__)
       30    0.000    0.000    0.000    0.000 sre_parse.py:258(_escape)
        1    0.000    0.000    0.059    0.059 _pycplex.py:13(swig_import_helper)
        1    0.000    0.000    0.000    0.000 _pwl.py:12(<module>)
        1    0.000    0.000    0.040    0.040 platform.py:1000(_syscmd_uname)
        1    0.000    0.000    0.000    0.000 cProfile.py:5(<module>)
        1    0.000    0.000    0.005    0.005 platform.py:10(<module>)
        1    0.000    0.000    0.000    0.000 _pycplex.py:1145(cpxdeserializer)
        9    0.000    0.000    0.003    0.000 sre_parse.py:676(parse)
        1    0.000    0.000    0.001    0.001 _procedural.py:1508(getx)
        1    0.000    0.000    0.000    0.000 __init__.py:617(Cplex)
       31    0.000    0.000    0.000    0.000 six.py:173(find_module)
        6    0.000    0.000    0.000    0.000 hashlib.py:94(__get_openssl_constructor)
       20    0.000    0.000    0.000    0.000 sre_parse.py:226(_class_escape)
       30    0.000    0.000    0.000    0.000 {getattr}
        1    0.000    0.000    0.000    0.000 _pycplex.py:1196(cpxserializer)
       29    0.000    0.000    0.000    0.000 sre_parse.py:73(opengroup)
        4    0.000    0.000    0.000    0.000 functools.py:17(update_wrapper)
        9    0.000    0.000    0.000    0.000 {_sre.compile}
      142    0.000    0.000    0.000    0.000 {ord}
        1    0.000    0.000    0.040    0.040 platform.py:1166(uname)
        1    0.000    0.000    0.000    0.000 error_codes.py:29(<module>)
        2    0.000    0.000    0.000    0.000 {math.log}
        1    0.000    0.000    0.000    0.000 _pycplex.py:1531(intPtr)
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:7158(SolutionStatus)
        9    0.000    0.000    0.002    0.000 sre_compile.py:481(_code)
        1    0.000    0.000    0.000    0.000 {posix.uname}
        4    0.000    0.000    0.000    0.000 contextlib.py:54(contextmanager)
        1    0.000    0.000    0.000    0.000 random.py:100(seed)
        1    0.000    0.000    0.000    0.000 __future__.py:48(<module>)
       29    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:5548(QualityMetric)
        1    0.000    0.000    0.000    0.000 {binascii.hexlify}
        1    0.000    0.000    0.000    0.000 _subinterfaces.py:7414(SolutionInterface)
        6    0.000    0.000    0.000    0.000 six.py:117(__init__)
        1    0.000    0.000    0.000    0.000 {math.exp}
        7    0.000    0.000    0.000    0.000 _matrices.py:32(__init__)
        1    0.000    0.000    0.000    0.000 contextlib.py:9(GeneratorContextManager)
        1    0.000    0.000    0.000    0.000 {function seed at 0x101e212a8}
        1    0.000    0.000    0.000    0.000 _pycplex.py:1555(cpxlongPtr)
       29    0.000    0.000    0.000    0.000 sre_parse.py:84(closegroup)
       18    0.000    0.000    0.000    0.000 sre_compile.py:475(isstring)
